res_type,state_fips,station_id,direct_of_travel,lane_of_travel,year,func_class_code,num_lanes_direc_indicated,sample_type_for_traffic_vol,num_lanes_monitored_for_traffic_vol,method_of_traffic_vol_counting,sample_type_for_vehicle_class,num_lanes_monitored_for_vehicle_class,method_of_vehicle_class,alg_for_vehicle_class,class_sys_for_vehicle_class,sample_type_for_truck_weight,num_lanes_monitored_for_truck_weight,method_of_truck_weighing,calibration_of_weighing_sys,method_of_data_retrieval,type_of_sensor,second_type_of_sensor,primary_purpose,lrs_identification,lrs_location_point,latitude,longitude,shrp_site_identification,prev_station_id,year_station_established,year_station_discontinued,fips_county_code,hpms_sample_type,hpms_sample_identifier,national_highway_sys,posted_route_sign,posted_sign_route_num,concurrent_route_signing,concurrent_signed_route_num,station_location
$1,02,000118,7,0,13,5U,2,T,2,3,H,2,3,G,15," ",0,0," ",2,P,L,P,001338000000,"  3425",61173610,149867622,"    ","      ",64,0,001,1,133800002789,1,0,00000000,0,00000000,"INTERNATIONAL AIRPORT ROAD - W                    "
$1,02,000119,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001347500000," 11056","        ","         ","    ","      ",85,0,001,1,134750006731,0,0,"000000  ",0,00000000,"NORTHERN LIGHTS BLVD - WEST OF                    "
$1,02,000119,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001347500000," 11056","        ","         ","    ","      ",85,0,001,1,134750006731,0,0,"000000  ",0,00000000,"NORTHERN LIGHTS BLVD - WEST OF                    "
$1,02,000121,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001337000000,"  2489","        ","         ","    ","      ",85,0,001,1,133700001263,0,0,"000000  ",0,00000000,"DIMOND BOULEVARD - WEST OF ARC                    "
$1,02,000121,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001337000000,"  2489","        ","         ","    ","      ",85,0,001,1,133700001263,0,0,"000000  ",0,00000000,"DIMOND BOULEVARD - WEST OF ARC                    "
$1,02,000122,1,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001341500000,"    46","        ","         ","    ","      ",85,0,001,1,130000012725,1,1,"0000A3  ",0,00000000,"INGRA AT CHESTER CREEK - NB                       "
$1,02,000122,5,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001342000000,"  1541","        ","         ","    ","      ",85,0,001,1,134200000082,1,1,"        ",0,00000000,"GAMBELL AT CHESTER CREEK - SB                     "
$1,02,000123,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 73844","        ","         ","    ","      ",90,0,001,1,001350017999,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT MILEPOST 53 -                    "
$1,02,000123,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 73844","        ","         ","    ","      ",90,0,001,1,001350017999,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT MILEPOST 53 -                    "
$1,02,000125,3,0,13,1U,3,T,3,3," ",0,0," ",13," ",0,0," ",2,L," ",P,001350000000,"   412",61219344,149815149,"    ","      ",90,0,001,1,130000012924,1,3,00000001,0,00000000,"GLENN HIGHWAY - WEST OF BRAGAW                    "
